genre,games,total_reviews,mean_rating_pct,mean_wilson_pct
Free to Play,1704,8941644,69.95,60.16
Sexual Content,245,175111,73.02,58.27
Nudity,266,275115,70.91,56.85
RPG,4311,7005218,71.63,56.42
Adventure,10032,11063037,71.38,53.77
Indie,19421,12265253,72.15,53.06
Action,11903,23076274,70.99,52.98
Strategy,5247,5478947,69.29,52.61
Massively Multiplayer,723,3869641,61.19,50.43
Simulation,5194,5122204,65.98,49.75
Utilities,146,96177,68.85,49.62
Casual,10210,3294078,71.07,49.18
Racing,1024,821577,66.72,49.17
Early Access,2954,1505816,70.24,48.69
Sports,1322,866730,66.6,47.81
Gore,537,240179,63.55,45.76
Violent,843,350824,63.1,44.45
