publisher,games,total_reviews,mean_wilson_pct
Valve,30,5910808,88.86
"CAPCOM Co., Ltd.",13,209151,86.31
"Spike Chunsoft Co., Ltd.",15,27421,85.64
Quiet River,21,26456,83.85
"XSEED Games;Marvelous USA, Inc.",18,13352,83.08
id Software,19,19075,82.75
"XSEED Games;Marvelous USA, Inc.;Marvelous",10,14342,81.73
Devolver Digital,65,327329,81.45
MangaGamer,42,11684,81.23
Idea Factory International,15,18416,81.15
Microsoft Studios,27,175512,80.58
Tripwire Interactive,11,187945,79.95
Electronic Arts,32,210195,79.92
Rockstar Games,15,639266,79.64
Double Fine Productions,14,50329,79.2
Raw Fury,10,21059,79.03
Bethesda Softworks,35,972976,78.87
11 bit studios,11,88066,78.23
Adult Swim Games,23,33366,77.96
"Nicalis, Inc.",12,95567,77.66
