tag,tagged_games,total_tag_votes,mean_rating_pct
action,13136,763849,71.2
indie,20782,730458,72.19
adventure,11572,563927,71.86
multiplayer,3111,415341,73.86
singleplayer,6779,403390,76.39
casual,11449,327532,71.5
rpg,4900,318176,71.97
strategy,6000,312526,69.74
open_world,1564,312337,71.15
simulation,5855,282366,66.44
free_to_play,2061,279564,70.64
survival,1324,217127,68.68
first_person,1627,210418,72.14
fps,1349,209224,69.68
co_op,1517,205249,76.23
shooter,1746,200226,74.13
atmospheric,2938,199678,75.77
great_soundtrack,3207,182345,81.45
sandbox,1032,161617,73.0
story_rich,2123,156399,80.7
early_access,3822,135436,70.72
horror,2026,121378,71.42
sci_fi,1728,111666,75.82
funny,1708,109080,78.76
third_person,828,108115,74.88
2d,3276,105843,79.37
difficult,2192,97071,79.01
zombies,720,96190,69.44
online_co_op,560,95105,75.85
puzzle,3298,93305,78.62
