release_year,games,total_reviews,mean_rating_pct
1997,1,387,90.96
1998,1,28855,96.19
1999,2,9489,89.39
2000,2,131315,88.76
2001,4,9986,88.36
2002,1,1907,90.56
2003,3,4096,79.09
2004,6,177921,90.88
2005,6,11510,80.05
2006,48,454633,80.31
2007,93,750159,80.79
2008,145,345005,75.44
2009,305,782804,75.03
2010,238,737419,72.51
2011,239,1390115,71.84
2012,320,4700978,75.67
2013,418,3745742,75.1
2014,1555,2714295,68.91
2015,2597,4604816,69.96
2016,4361,3891159,71.1
2017,6357,4612601,70.82
2018,8160,3219959,71.09
2019,2213,478531,75.8
